procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 14  31812 2750200  27292 20491896    0    0 11158 49924 4289 6157  7  2 46 46  0
 0 16  31812 2678092  27364 20561440    0    0 11970 42308 4871 6897  6  2 50 42  0
 0 12  31812 2594004  27476 20644820    0    0 21348 26912 4931 6780  8  2 62 28  0
 0 12  31812 2549496  27564 20690688    0    0  7524 44824 3888 4911  4  1 41 54  0
 0 15  31812 2447512  27700 20786768    0    0 18808 35610 5873 7254  9  2 46 43  0
 0 15  31812 2344904  27816 20885916    0    0 19424 26782 5753 7567  9  2 55 33  0
 1 17  31812 2224760  27952 20997756    0    0 16860 56502 7248 9708  7  2 44 46  0
 0 15  31812 2138216  28052 21079420    0    0 10430 42654 5405 7445  6  2 51 41  0
 1 16  31812 1977568  28236 21232100    0    0 23398 28396 8257 12227 11  3 58 28  0
 0 15  31812 1894744  28324 21312416    0    0 10962 44796 5285 7101  6  2 45 47  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 13  31812 1797452  28456 21403420    0    0 12088 40930 5906 7992  7  2 50 41  0
 1 24  31812 1671456  28604 21524228    0    0 19396 34756 7611 10468  8  2 51 38  0
 0 14  31812 1602496  28684 21590684    0    0  9030 53664 5120 6894  6  2 41 51  0
 0 21  31812 1499872  28796 21690160    0    0  9894 46582 7621 11163  5  2 47 46  0
 1 15  31812 1415908  28900 21768816    0    0  5340 52676 6733 9644  5  2 46 46  0
 1 14  31812 1319620  29044 21862456    0    0 14426 37846 6814 9432  7  2 50 40  0
 0 12  31812 1243980  29124 21923484    0    0 15260 38638 3872 4966  6  2 50 42  0
 0 12  31812 1185284  29228 21980632    0    0 10296 38168 3854 5266  5  2 51 42  0
 0 16  31812 1087700  29372 22069560    0    0 15432 41182 4712 7047  9  2 48 41  0
 1 13  31812 986664  29484 22170440    0    0 16216 39714 5265 7696  8  2 49 42  0
 1  7  31812 888076  29616 22267268    0    0 14238 19244 5301 7836  8  2 62 29  0
 5  8  31812 856004  29768 22355060    0    0 13394 15282 5116 7389  7  9 56 28  0
 0 21  31812 814328  29848 22393176    0    0 10272 66296 2575 4210  4  1 51 43  0
 2 14  31812 745308  29940 22459820    0    0 11498 62342 5040 6806  5  1 54 40  0
 2 17  31812 681856  30032 22523276    0    0  7120 56810 4807 7244  5  2 38 55  0
14 13  31812 602952  30140 22594548    0    0 12444 40552 5469 7419  6  2 44 48  0
 1 14  31812 524216  30228 22670796    0    0 10882 44458 5268 7599  7  2 41 49  0
 2 16  31812 468576  30276 22725440    0    0  8410 46240 4538 6252  5  2 41 52  0
 8 16  31812 366984  30380 22823884    0    0 12364 46604 7242 10628  6  2 44 47  0
 0 13  31812 289012  30464 22900372    0    0 11516 37122 5408 7917  7  2 44 47  0
 0  8  31812 241124  30504 22950896    0    0  7124 52444 4447 6116  3  1 46 50  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  8  31812 203056  30540 22990760    0    0   832 68912 4695 6991  1  2 55 43  0
 2 17  31812 161680  29752 23027136    0    0  8264 53774 5400 7962  7  2 38 53  0
 0 13  31812 163748  29844 23023544    0    0 14602 44762 4516 6265  7  2 41 50  0
 1  8  31812 157772  29916 23030608    0    0 16798 38856 4467 6405  8  2 53 37  0
 2 10  31812 158944  30000 23028216    0    0 16232 34614 4593 6302  8  2 58 32  0
 3 15  31812 164212  30060 23024404    0    0  7796 48520 4193 5993  5  2 52 41  0
 0 14  31812 161788  30124 23020980    0    0 10298 54678 4248 5993  7  2 49 42  0
 2 14  31812 162804  30196 23020044    0    0 17122 30196 4019 5705  8  2 35 55  0
 0 14  31812 162972  30280 23023516    0    0 11466 41904 5173 6798  6  2 35 56  0
 0 16  31812 158916  30364 23025008    0    0 12798 47342 4308 6853  7  2 49 41  0
 0 22  31812 164116  30460 23020368    0    0 18920 23988 4868 7227  8  2 43 47  0
 0 15  31812 163236  30560 23020404    0    0  8800 53860 6774 10018  6  3 50 42  0
 0 14  31812 162224  30640 23022168    0    0 10288 51846 5577 8639  5  2 44 48  0
 0 15  31812 162908  30744 23021432    0    0 10852 34072 9070 13788  6  3 44 46  0
 0 16  31812 161684  30848 23018688    0    0 15800 42662 7438 11081  9  3 40 48  0
 2 11  31812 162524  31012 23016748    0    0 14804 36898 9741 15784  9  3 38 50  0
 2 17  31812 162168  31120 23016872    0    0  7842 47338 10180 15706  6  3 43 48  0
 2 10  31812 159428  31224 23018972    0    0  8942 52500 9663 14937  6  3 46 45  0
 1 13  31812 157068  31348 23019788    0    0 14098 40778 10068 15769  8  3 44 44  0
 3 14  31812 161940  31464 23014652    0    0  8480 53346 8308 13047  5  3 38 54  0
 0 18  31812 158080  31548 23015748    0    0  7140 48266 5825 8788  4  2 37 56  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 13  31812 161724  31608 23011616    0    0  5376 61836 7561 11234  4  3 50 43  0
 1 15  31812 157040  31676 23016280    0    0  9136 39656 6030 8734  5  2 44 48  0
 1 10  31812 156616  31732 23018056    0    0 10932 46700 7585 11047  5  2 44 48  0
 0 12  31812 162064  31836 23008700    0    0 14636 38414 7586 10090  9  3 50 39  0
 3 12  31812 161296  31916 23010132    0    0 13332 44664 6759 10702  7  2 46 45  0
 0 16  31812 159680  32040 23011468    0    0 10862 46324 6044 8734  6  2 44 48  0
 2 13  31812 160064  32140 23009044    0    0 18810 31428 6128 8902  9  2 51 37  0
 0 13  31812 159184  32232 23009596    0    0 13454 46318 6521 8779  8  2 49 41  0
 2 12  31812 161432  32340 23004196    0    0 12700 43158 5704 7912  7  2 52 40  0
 0 17  31812 164384  32432 22997856    0    0 14534 38536 6490 9346  7  2 41 50  0
 1 13  31812 157888  32500 23002048    0    0 10336 40546 7121 10309  5  2 38 54  0
