procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  2 183708 1544708  11556 21163732    0    0 22784 40322 9348 9566  9  1 80 10  0	
 1  5 183708 1405496  11556 21299756    0    0 25794 24452 10493 10527 11  2 69 18  0	
 1  4 183708 1334056  11580 21371860    0    0 14852 50162 7536 7119  6  1 75 17  0	
 1  1 183708 1288052  11584 21415872    0    0  8770 103846 5476 5090  3  1 86 10  0	
 0  1 183708 1212428  11596 21487964    0    0  9410 81452 7032 6519  4  1 85  9  0	
 1  1 183708 1163136  11612 21526680    0    0  7364 86142 5935 5296  4  1 86  9  0	
 2  1 183708 1088752  11616 21603272    0    0 16320 43594 7768 6907  7  1 81 11  0	
 1  2 183708 968208  11624 21724264    0    0 28416    16 10391 10373 10  1 78 10  0	
 1  1 183708 837372  11632 21848292    0    0 19972 82844 12683 13087  9  2 77 12  0	
 2  2 183708 743900  11652 21938376    0    0  9730 71252 11231 11748  4  2 83 11  0	
 2  1 183708 611856  11664 22068672    0    0 22914 25258 12630 10728  9  2 77 11  0	
 1  3 183708 489568  11668 22188528    0    0 21570 40812 11323 9347  9  2 81  9  0	
 3  1 183708 389724  11680 22280792    0    0 17536 28752 7257 7552  7  1 82 10  0	
 2  1 183708 249908  11688 22415132    0    0 21316 57820 10264 10723  9  2 79 11  0	
 0  1 183708 241848   7040 22426164    0    0 17304 69878 10661 9733  7  2 81  9  0	
 1  3 183708 234020   7060 22433404    0    0  8578 79092 9754 10935  5  2 83 10  0	
 0  1 183708 244452   7064 22420824    0    0 12358 65914 13593 13776  6  2 82  9  0	
 1  1 183708 256868   7076 22409332    0    0  7810 71214 7264 6946  4  1 85 10  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 183708 228100   7088 22437464    0    0 16640 52400 9330 9250  7  2 80 11  0	
 3  0 183708 219684   7096 22448752    0    0 12098 15406 7781 7177  6  1 89  4  0	
 1  0 183708 223296   7104 22444252    0    0  9344   130 5100 4107  4  1 94  1  0	
 2  1 183708 235524   7108 22421084    0    0 10500 61446 7728 6999  5  1 89  4  0	
 3  2 183708 229944   7120 22425764    0    0  8770 70060 8546 8924  5  1 85  9  0	
 1  1 183708 237724   7132 22421668    0    0  6786 66368 5136 5692  3  1 86 10  0	
 1  2 183708 229820   6864 22425060    0    0 19964 68104 11754 12010  8  2 77 12  0	
 0  1 183708 236640   6880 22416152    0    0  9156 76850 8576 8600  5  2 86  8  0	
 2  3 183708 234168   6892 22419544    0    0  6980 96320 6607 6739  4  1 85 10  0	
 2  2 183708 240608   6904 22412624    0    0  9478 71202 8060 8682  5  1 84 10  0	
 0  1 183708 233664   6916 22420088    0    0  9220 72106 7527 7819  5  1 83 10  0	
 1  2 183708 218560   6932 22435756    0    0  6148 91472 5011 5418  3  1 87  9  0	
 1  1 183708 222868   6936 22429952    0    0 14720 57620 8104 7827  7  1 83  9  0	
 0  0 183708 222008   6936 22434900    0    0 10176 24720 6099 5764  5  1 90  5  0	
 0  0 183708 220520   6952 22436080    0    0  8576   146 6022 5850  4  1 94  1  0	
 0  1 183708 232928   6956 22420592    0    0 10626 61750 6209 5739  6  1 91  2  0	
 1  0 183708 238392   6964 22416204    0    0  8162 69486 4745 4136  3  1 86 10  0	
 0  2 183708 227100   6980 22426172    0    0  9028 71374 6361 6075  4  1 84 10  0	
 3  1 183708 228836   6984 22424528    0    0  8450 83220 6825 5958  4  1 86  9  0	
 2  4 183708 224628   6988 22431812    0    0  9152 44380 6975 5679  4  1 85 10  0	
 1  0 183708 221148   6996 22433460    0    0 12034 79306 7302 5689  5  1 83 11  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 183708 226084   6996 22429216    0    0 11310     0 7579 6342  6  1 92  1  0	
 0  0 183708 223092   7008 22434212    0    0  8000    86 6806 6776  5  1 94  0  0	
 0  1 183708 221488   7024 22431744    0    0  9156 82232 8587 8520  5  2 87  7  0	
 1  1 183708 234764   7032 22418536    0    0  5954 77246 6022 5913  3  1 85 10  0	
 2  1 183708 225092   7048 22424492    0    0 11332 72278 9893 10117  6  2 83 10  0	
 3  1 183708 234152   7048 22416864    0    0  8064 71372 9038 9012  4  1 85  9  0	
 4  0 183708 237112   7064 22415780    0    0  8064    92 7553 7363  5  1 92  2  0	
 0  0 183708 330304   7056 22321072    0    0 10114  2392 9532 10999  7  2 90  0  0	
 2  3 183708 234180   7132 22408844    0    0 16744 60900 11120 13294  9  2 79 10  0	
 2  2 183708 256624   7132 22387720    0    0 27712 21788 11921 14046 12  3 68 18  0	
 4  3 183708 281192   7128 22360644    0    0 38658  8192 13319 14372 17  3 63 17  0	
 1  4 183708 294512   6356 22337016    0    0 34566  8270 12004 12544 15  3 66 16  0	
 2  4 183708 291296   6352 22342504    0    0 36928 14428 11182 10890 14  2 70 13  0	
 2  5 183708 297056   6360 22343292    0    0 42368  7866 14795 12173 19  2 62 17  0	
13  6 183708 284156   6352 22342924    0    0 38912  8048 18030 12828 16  3 60 21  0	
 5  6 183708 298228   6352 22318116    0    0 45570  8030 18331 14567 19  3 54 23  0	
 8  5 183708 296716   6352 22319476    0    0 46150  8212 14462 13527 19  3 61 17  0	
 4  8 183708 293540   6300 22307628    0    0 45954  2204 14205 12336 19  3 62 16  0	
 3  4 183708 296152   6300 22304056    0    0 46528  8210 16237 14363 19  3 62 16  0	
 2  6 183708 296236   6284 22304680    0    0 44992  8200 17249 17260 19  3 55 23  0	
 2  3 183708 238388   6284 22346108    0    0 37696  6866 14867 14935 22  5 58 14  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  3 183708 233948   6304 22353124    0    0 34568   120 14066 15364 15  3 71 11  0	
 2  5 183708 260120   6280 22322576    0    0 45760 49040 17575 14942 20  3 65 12  0	
 9  2 183708 906356   5592 21673644    0    0 21316 42012 9355 6912 26  9 51 14  0	
 1  2 183708 773100   5596 21802108    0    0 24408 40718 13290 11199 15  2 71 12  0	
 1  4 183708 640280   5596 21936840    0    0 28920     0 15016 9589 12  2 75 12  0	
 1  3 183708 441308   5616 22133544    0    0 38342 42384 18122 14828 16  3 68 14  0	
 4  3 183708 336900   5620 22237188    0    0 22990 33608 10232 9216 10  2 76 13  0	
 4  5 183708 1317936   5524 21242136    0    0 31820 42518 17530 17544 15  4 69 12  0	
 5  3 183708 1116932   5532 21441780    0    0 38724  8194 16441 17518 16  2 65 17  0	
 2  1 183708 974108   5536 21584468    0    0 24000 15394 13644 14953 10  2 77 11  0	
 1  4 183708 815876   6056 21739676    0    0 27314 39416 12572 13435 11  2 77  9  0	
 1  8 183708 958504   7504 21580064    0    0  8468 60460 8591 7578 11  2 36 51  0	
 4  8 183708 883516   7524 21651136    0    0 13952 69742 7712 6348  6  2 83 10  0	
 1  3 183708 685604   7524 21849904    0    0 46336  8194 14482 11179 19  2 63 16  0	
 2  4 183708 549452   7532 21986448    0    0 31874 13240 9694 7777 13  2 69 16  0	
 8  4 183708 573856   7540 21950276    0    0 29634 40256 8967 6884 17  3 65 16  0	
 3  3 183708 441680   7540 22076860    0    0 29440 28642 9890 7449 20  2 68 10  0	
 2  2 183708 288028   7556 22226620    0    0 27912    80 11242 9653 11  2 78  9  0	
 5  3 183708 242404   7548 22269868    0    0 32576    32 11851 11500 13  2 80  5  0	
 2  0 183708 267684   7548 22239800    0    0 29396 57234 10955 10259 13  2 72 13  0	
 0  3 183708 369832   7564 22131204    0    0 26590 51758 16008 13719 31  4 52 13  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3 183708 242500   7556 22251120    0    0 47190  8218 16809 15096 20  3 61 17  0	
 0  1 183708 229108   7560 22267584    0    0 29248 14640 11864 11490 14  2 71 13  0	
 8  2 183708 601592   7556 21893236    0    0 22724 40466 11748 8259 21  3 64 12  0	
 1  5 183708 428848   7564 22060984    0    0 29886 47128 14592 12591 33  2 53 12  0	
 0  1 183708 341676   7572 22148172    0    0 23104 41484 6514 5717  8  1 80 11  0	
 2  2 183708 244584   7576 22241484    0    0 40132  3652 15905 14251 17  3 62 18  0	
12  5 183708 258292   7576 22214148    0    0 29312    26 10791 8872 15  6 64 14  0	
 3  4 183708 605296   7556 21869012    0    0 36288    10 14304 12270 19  5 67  9  0	
 0  1 183708 458280   7564 22013664    0    0 34182 41506 11893 9555 14  2 69 15  0	
 0  2 183708 352780   7584 22117816    0    0 12674 68690 10466 8749  6  2 80 13  0	
 2  2 183708 238224   7584 22223160    0    0 30018 15970 12250 10805 12  2 76 10  0	
 1  4 183708 327016   7592 22129084    0    0 35584 13890 15077 12003 16  3 72  9  0	
 1  3 183708 244432   7592 22207672    0    0 32896    38 13352 12175 13  2 73 11  0	
 1  1 183708 259436   7592 22193020    0    0 33154  2048 12154 10341 13  2 74 12  0	
 2  2 183708 244836   7612 22203980    0    0 17618 66284 7951 6492  7  1 83  9  0	
 1  2 183708 1156976   7568 21281144    0    0 15490 51972 8953 7088  9  4 76 11  0	
 0  2 183708 1054676   7580 21382728    0    0 21792 34874 10054 7055  9  2 78 12  0	
 0  1 183708 1028876   7584 21411160    0    0  4032 53302 4085 3742  2  1 89  8  0	
 0  2 183708 901404   7596 21534844    0    0 14908 93362 11797 11231  7  2 80 11  0	
 0  1 183708 825532   7612 21611832    0    0  7938 76538 7741 7489  4  1 85  9  0	
 0  1 183708 792812   7620 21644676    0    0  5378 69984 4534 5611  2  1 87 10  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 183708 672608   7636 21766976    0    0 20996 13188 10875 12397  9  2 81  8  0	
 2  1 183708 498248   7636 21941596    0    0 30336     0 12011 13943 12  2 82  3  0	
 2  5 183708 1119816   7612 21304492    0    0 18050 43960 12318 12343 14 14 65  7  0	
 2  3 183708 904568   7620 21518236    0    0 28162 23830 18437 22077 11  3 74 12  0	
 1  1 183708 775832   7632 21648640    0    0  9666 64316 13936 15829  5  2 81 11  0	
 0  2 183708 682368   7652 21740264    0    0 10598 78916 9743 10624  5  2 84 10  0	
 2  1 183708 551820   7652 21869456    0    0 17222 56864 13873 13685  8  2 77 13  0	
 2  3 183708 476016   7660 21942804    0    0 15746 62504 8185 7592  6  1 81 11  0	
 1  3 183708 310832   7668 22102896    0    0 34258  4108 12728 10701 14  2 75  9  0	
 1  4 183708 609832   7640 21784884    0    0 26946 52228 12219 11412 18  3 67 12  0	
 2  4 183708 455824   7652 21940364    0    0 32002 13944 13457 12334 12  2 75 10  0	
 2  3 183708 352688   7660 22040948    0    0 18946 51866 9952 9697  8  2 78 13  0	
 2  2 183708 245840   7660 22143700    0    0 39168 16384 15566 13850 16  3 69 12  0	
 3  2 183708 1251888   7652 21128020    0    0 19162 53074 9186 8352 13  4 70 13  0	
