procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  8  11672 146320  34004 20844192    0    0 19476 33284 8188 4492  7  1 56 36  0
 2  3  11672 147216  34116 20842152    0    0 24852 34066 9547 5843  9  1 59 31  0
 2  2  11672 143288  34240 20832016    0    0 25112 31996 12155 10587 12  1 75 12  0
 1  4  11672 147672  34300 20828808    0    0  6332 56774 7166 6317  2  1 85 11  0
 0  2  11672 146168  34380 20828700    0    0 15460 64356 8480 7096  3  0 84 12  0
 0  2  11672 147656  34480 20827776    0    0  9224 49654 13593 10461  5  1 87  8  0
 0  2  11672 147344  34588 20827116    0    0  5256 54056 20226 15073  3  2 87  9  0
 4  2  11672 147040  34720 20827524    0    0  6150 65134 29238 21110  4  2 84 10  0
 1  2  11672 142440  34936 20831384    0    0 17308 33568 33285 25113  7  3 74 16  0
 3  4  11672 144880  35088 20829376    0    0 16340 50108 25491 19890  7  2 77 13  0
 3  2  11672 143808  35168 20829028    0    0  8198 49198 14889 10653  3  1 68 28  0
 0  2  11672 146120  35224 20826484    0    0  4356 64718 15575 11679  2  1 71 26  0
 1  2  11672 147664  35272 20826672    0    0  2308 56656 11246 8282  1  1 86 12  0
 1  2  11672 149496  35304 20823240    0    0  5122 56074 10041 7378  2  0 88 10  0
 2  2  11672 147840  35368 20814404    0    0  5380 63126 8535 5701  3  1 88  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2  11672 148432  35460 20813036    0    0  6922 52762 13359 9261  3  1 86 11  0
 0  2  11672 151304  35508 20810796    0    0  7170 54562 8383 5149  2  0 88  9  0
 1  2  11672 142336  35624 20818976    0    0  7692 46054 17976 12779  3  1 84 13  0
 0  2  11672 142032  35716 20820148    0    0  6664 65092 19676 15985  2  1 88  9  0
 6  2  11672 146736  35816 20814400    0    0  8330 53092 15274 12141  3  1 86 10  0
 4  3  11672 145200  36032 20816112    0    0 32672 20788 21906 14287 13  2 67 19  0
 0 10  11672 139424  36216 20820560    0    0 35624 26358 12971 8560 14  1 56 29  0
 2 12  11672 139904  36340 20804232    0    0 20676 34086 12626 7200  7  1 51 40  0
 3  4  11672 143872  36492 20800280    0    0 27022 28524 13266 5991  8  1 48 43  0
 0 11  11672 144608  36628 20798752    0    0 26262 24806 12272 6005  9  1 41 49  0
 3  7  11672 138216  36728 20807172    0    0 12810 40966 11049 6237  5  1 57 36  0
 1  7  11672 137320  36840 20805228    0    0 29856 17752 9432 5578 12  1 44 43  0
 2  4  11672 142792  37024 20797048    0    0 27810 38362 14343 10377 12  2 53 33  0
 3  4  11672 144472  37188 20795784    0    0 37664 18704 12132 8876 13  1 57 29  0
 3  6  11672 149032  37344 20790792    0    0 28600 19020 12438 8286 10  1 53 35  0
 1  9  11672 149488  37472 20790096    0    0 22652 37552 12280 8627  8  1 60 30  0
 3  7  11672 149464  37648 20775384    0    0 23434 39490 14565 9392  9  1 68 21  0
 1  3  11672 147808  37780 20778520    0    0 20806 32872 18069 13187  7  1 70 22  0
 0 11  11672 143856  37896 20782256    0    0 23060 33684 13693 9643  8  1 70 21  0
 1  8  11672 147656  38000 20776604    0    0 11534 50838 12308 7599  4  1 62 33  0
 1  2  11672 142336  38084 20783632    0    0 12044 48216 17295 11158  5  1 77 17  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  3  11672 149808  38176 20777396    0    0 11790 47020 9398 5730  5  1 81 14  0
 7  5  11672 150520  38380 20775564    0    0 28346 19132 19956 13710 11  1 70 17  0
 0  2  11672 145808  38500 20776580    0    0 24964 38698 12534 8568  9  1 77 13  0
 5  4  11672 143840  38640 20779264    0    0 22292 31272 15153 8849  8  1 76 15  0
 3  3  11672 149336  38804 20774144    0    0 22704 33530 14497 9430 10  1 75 13  0
 3  3  11672 150400  38940 20772880    0    0 25734 35760 12606 7874  9  1 76 14  0
 0  9  11672 149952  39080 20752968    0    0 27936 26094 13486 7390 11  1 71 17  0
 1  3  11672 146912  39236 20755876    0    0 26908 32614 14336 8620  9  1 61 29  0
 0  2  11672 146480  39380 20753788    0    0 20370 38208 25532 16722  9  2 70 20  0
 1  2  11672 150912  39484 20748888    0    0 12044 49516 20933 13938  4  1 81 14  0
 1  2  11672 143784  39564 20758468    0    0 12812 48422 15993 10569  5  1 78 16  0
 1  3  11672 143456  39764 20759584    0    0 23332 32638 20273 12646  9  1 75 14  0
 3  4  11672 143288  39884 20752836    0    0 22940 48004 14392 9691  9  1 72 18  0
 4  4  11672 141944  40088 20752812    0    0 36266 14304 18425 12561 13  2 59 26  0
 6  3  11672 149080  40300 20745520    0    0 39496 20664 18326 13110 14  2 67 17  0
 8  5  11672 142104  40496 20730936    0    0 43048 17880 13694 7998 17  2 60 21  0
 6  4  11672 144176  40676 20728008    0    0 46382 15780 11720 6282 18  1 60 21  0
 6  6  11672 146120  40876 20728188    0    0 39086 15538 13659 9321 15  1 62 22  0
 3  3  11672 149456  41060 20705384    0    0 38294 20474 13770 7930 13  1 64 21  0
 2  5  11672 148696  41204 20706956    0    0 34336 27106 15283 8628 14  1 64 21  0
 2  4  11672 143848  41332 20711972    0    0 29214 32104 12188 6563 10  1 73 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3  11672 151592  41468 20704700    0    0 23060 47168 12227 7759  9  1 76 14  0
 1  2  11672 144152  41596 20711996    0    0 20124 38680 13965 10412  8  1 75 16  0
 2  3  11672 146888  41764 20694908    0    0 28988 26190 14579 9233 11  1 77 10  0
 2  2  11672 147352  41932 20694972    0    0 31628 27714 11112 6137 12  1 75 12  0
 3  3  11672 149600  42104 20691644    0    0 31528 24572 9347 4968 11  2 72 16  0
 2  3  11672 144144  42208 20696904    0    0 16274 32050 8471 4742  8  1 79 13  0
